"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"YJL047C-A",1605.05297212124,5.71681234522072,0.167954424170053,34.0378788678557,6.13425167620506e-254,4.27741369381779e-250
"YOR001W",4013.8767729488,-9.45463616122955,0.28321709527733,-33.382999539528,2.41983683750548e-244,8.43676113396284e-241
"YGL251C",763.66476570296,-4.73306104496673,0.161336977053969,-29.3364926713823,3.55338008024646e-189,8.25923976651953e-186
"YPL249C",1802.07161748638,-4.53624980093488,0.154680670149094,-29.3265460807899,4.75875569747773e-189,8.29570086962805e-186
"YCL007C",871.596941128548,5.92497670126322,0.202411776305808,29.2718971662579,2.36418338757213e-188,3.29709015230809e-185
"snR87",1713.03231481015,4.45916610281831,0.155347533029496,28.7044539160571,3.35687626565037e-181,3.90124970006334e-178
"snR10",2846.50228896765,5.27309763458856,0.184158991040826,28.6333977221865,2.58055123319465e-180,2.57059767843804e-177
"snR62",972.193415351779,4.23279767753882,0.149515064398305,28.3101752627596,2.59013027836875e-176,2.25762230388317e-173
"snR59",1117.70004199905,4.46652156211184,0.159625500823992,27.9812532399618,2.74771670295373e-172,2.12886984107737e-169
"snR85",1389.9999542646,3.41189291313198,0.138612893123087,24.6145422424901,8.82673373328773e-134,6.15488143222153e-131
"snR48",6532.63401114279,5.84178359234368,0.238383287793734,24.505843704104,1.27977360045237e-132,8.11260119632219e-130
"snR58",792.670873871987,5.66481027535426,0.234026188633192,24.2058818649274,1.92905853055248e-129,1.12094376112853e-126
"snR66",4031.07035076963,5.22827510355009,0.218247393043503,23.9557276292777,8.05368605289097e-127,4.31987329590836e-124
"snR61",3592.89446957669,4.5021210429822,0.188256849088208,23.9147795407578,2.1497521062419e-126,1.07073010263034e-123
"snR56",3090.71356544784,5.47805833017215,0.229176449633527,23.9032341190905,2.83452200133378e-126,1.31767479435337e-123
"tP(AGG)C",679.642739199953,5.30734090398311,0.223193947525697,23.779053880357,5.5018129943925e-125,2.39775887561868e-122
"snR71",4940.54514602028,5.37276879002828,0.235705273823766,22.7944360466259,5.20648566757246e-115,2.13557791529311e-112
"snR73",1528.99170042317,4.90020050470682,0.222276314690544,22.045536032613,1.05424710782195e-107,4.0840361571347e-105
"YDR042C",1746.65236127639,3.70975227521606,0.172057045028803,21.5611762633435,4.15901541910177e-103,1.52635865881035e-100
"snR38",5940.91592742963,4.17350321392718,0.19470072717906,21.4354783076333,6.23894390370875e-102,2.17520779202805e-99
"snR39",3241.33596875314,3.44625514492163,0.165368169756802,20.8398940980592,1.88254763986699e-96,6.25095461561549e-94
"YOR277C",325.23374385242,4.31843174160823,0.212633023043609,20.3093182789513,1.06370480812425e-91,3.37146073956838e-89
"snR51",2508.82740479458,3.74110915790759,0.185800783823499,20.1350558427215,3.63902652412383e-90,1.10325791098763e-87
"snR79",1035.32959139756,3.64410041627555,0.184192619524134,19.7841825893468,4.0745075380364e-87,1.18381421094699e-84
"YGL152C",254.308254966411,4.72279844128045,0.245656434128978,19.2252177640942,2.27681352949712e-82,6.32742800795397e-80
"YNL040W",2387.87582312991,-1.93341429871253,0.100576231823081,-19.2233718013368,2.35928765533921e-82,6.32742800795397e-80
"YPL222C-A",1024.38794254047,3.41497122207141,0.177969599802768,19.1885087445047,4.61699024891171e-82,1.19238048169116e-79
"snR53",522.312986058812,4.37762360196138,0.236369594530404,18.5202483875239,1.41781421589238e-76,3.53086375979199e-74
"snR54",2536.57077251423,3.80002399880602,0.210179913042978,18.079862836507,4.59222847243513e-73,1.10419341856173e-70
"YNL228W",258.181602429298,3.23914643039107,0.184674864015466,17.5397255477053,7.12707597799009e-69,1.65657002648416e-66
"snR18",4344.70454784834,3.33770848317233,0.198286011455784,16.8327985351433,1.40310591135526e-63,3.1560830709291e-61
"YCR064C",198.685904499185,3.71464842427086,0.222555982816306,16.690849543851,1.52781194143078e-62,3.32919770862401e-60
"snR68",1865.21887108417,3.47369054481146,0.209553166192787,16.576655022314,1.02793445132256e-61,2.1720566451734e-59
"YDR406W",7681.48817632917,-2.32304566736277,0.141324414070699,-16.4376812218775,1.02776706622915e-60,2.1078293390635e-58
"YPL114W",482.376537937156,2.23060857051777,0.137488567812514,16.2239566969636,3.41470463396335e-59,6.80306726075042e-57
"RUF20",897.001509973715,2.32911295377135,0.150561713490483,15.4694902161735,5.57467600302673e-54,1.07978377136404e-51
"YIL134W",2880.01411869068,1.67837901463515,0.108632542441969,15.4500573852603,7.537631877922e-54,1.42053802931757e-51
"snR50",941.638214156127,2.59608278886993,0.169250546301297,15.3386966577256,4.21574395785976e-53,7.73589016267265e-51
"YOR072W-A",277.577003563117,3.38169961807335,0.220512471499896,15.3356388192989,4.41903953800003e-53,7.90101607653184e-51
"YLL047W",160.594021668448,3.94871874641788,0.258901233610871,15.25183442097,1.60071989126835e-52,2.79045495045356e-50
"snR49",11196.1180847078,3.19752197729673,0.209969946911194,15.2284744761549,2.28869661821429e-52,3.8924589070264e-50
"YNL012W",249.306387329674,-2.94523210304508,0.194281824014733,-15.1595864305954,6.54803495358107e-52,1.08712970788859e-49
"YDR426C",166.979311148456,4.39958091242066,0.290854190163212,15.1264140631835,1.08445871060968e-51,1.75858850908867e-49
"YPR150W",249.424488708866,2.77433008115063,0.187977237525996,14.7588618582979,2.69795342168228e-49,4.27564300213422e-47
"YOR041C",214.05766339182,3.39669283581714,0.232553157946535,14.6060920686274,2.56833530198652e-48,3.97977823572267e-46
"YHR069C-A",236.335007500203,2.62256531821971,0.181007714216578,14.488693642536,1.42833504397256e-47,2.16516962209145e-45
"YAR073W",354.861477013691,3.9758927351373,0.274625345715038,14.4775156305596,1.68062607127327e-47,2.49340544574223e-45
"snR65",802.358930931003,4.07227475705518,0.281671962002165,14.4575084012937,2.24788823624245e-47,3.26552597319138e-45
"snR47",6500.5370813427,3.67046351955276,0.254613493685586,14.4158248112541,4.11493724880372e-47,5.85580763998129e-45
"YJR018W",179.430737838355,3.96136380952092,0.277582572162076,14.2709384766704,3.32079409199768e-46,4.63117944069996e-44
"snR76",3237.01435357632,3.2193451197658,0.229698343332419,14.0155347794859,1.25251220903235e-44,1.71250345756521e-42
"snR69",1519.14884307831,3.5718651032527,0.255692660021862,13.9693689406153,2.39741493835088e-44,3.21484122406167e-42
"YKL006C-A",3116.33213652054,1.59867462939781,0.116259652134564,13.7508980978838,5.03012008338768e-43,6.61792968706836e-41
"YHR214C-E",115.180451333442,4.52426184390647,0.331479943735892,13.6486744655393,2.05584084321365e-42,2.65469966661644e-40
"YBR054W",4788.30940176918,2.62647376419364,0.193605036987776,13.5661437587467,6.35800953991913e-42,8.06080009488293e-40
"YPL245W",4816.15365507798,1.36677711932292,0.101395462209799,13.479667526885,2.06033153875092e-41,2.5654806820911e-39
"snR80",9944.03813104476,2.74035548032349,0.206502728894526,13.2703112205513,3.44148481479681e-40,4.21008309010143e-38
"YJL035C",1372.1994635668,1.25063483297361,0.0948603841305798,13.183952863316,1.0855075074561e-39,1.30504204301575e-37
"YNL301C",19328.2860741363,1.37257458749419,0.104351367307467,13.1533934140983,1.62705172470409e-39,1.92295452141723e-37
"snR11",26690.6923735124,2.09342769505333,0.159978068324259,13.0857167921929,3.97393578475242e-39,4.61837570451311e-37
"snR77",2413.48054433234,3.2765269748919,0.250794222771865,13.0646030784863,5.24575198704207e-39,5.99649649272858e-37
"YGR121W-A",154.554419005176,2.95614013312854,0.226361735554613,13.0593632615762,5.61958368621256e-39,6.32021887805809e-37
"YGL184C",2057.32245464567,1.78740646984103,0.137806971537358,12.9703631819272,1.80174612317103e-38,1.99421836775739e-36
"YOR153W",86746.4833388804,-2.52338059425632,0.195297096341972,-12.9207276581204,3.43873930790694e-38,3.74661393656798e-36
"YDL086C-A",398.393670648122,1.94603636474586,0.150632044020002,12.9191393332447,3.51046139719339e-38,3.76591497271223e-36
"YHL019W-A",114.781726110833,4.20379046247154,0.328696478143985,12.7892774702322,1.88215585205006e-37,1.9885261752038e-35
"snR72",435.467400685343,3.19308682123414,0.24982324464254,12.7813839973256,2.08329039395452e-37,2.16817670403655e-35
"YGL182C",107.468538223239,3.64161848633981,0.285790149867854,12.7422813138369,3.44181167187168e-37,3.5293754099943e-35
"YGL122C",13691.8125240969,1.00342297043867,0.0788121501226763,12.7318309280584,3.9350192991385e-37,3.97665066273808e-35
"snR81",2953.57769562187,3.15083863538916,0.24881681146395,12.6632867644704,9.44601149143059e-37,9.40957687567793e-35
"YLR346C",1293.02747754574,-3.17377724031063,0.254187268453227,-12.4859803546559,8.90397859521281e-36,8.74471024569281e-34
"YGR031C-A",119.438881537939,3.59536206130547,0.28831937277319,12.4700675737589,1.08733806220718e-35,1.0530567094126e-33
"YLL037W",139.35892628427,2.71495088262286,0.217979415738779,12.4550791799368,1.312211897e-35,1.25343199421657e-33
"YPR157W",1657.79547678125,2.37669654587636,0.192715938313297,12.3326413304362,6.04327533345238e-35,5.6945620135356e-33
"YMR245W",173.712372869155,3.26794777703263,0.265067591007808,12.3287338320299,6.34356640910981e-35,5.89782514276303e-33
"YBR144C",133.03399301065,2.97284080402974,0.242871302006388,12.2403955488802,1.89108763855143e-34,1.73507290837094e-32
"snR24",808.643737401294,2.45428921338673,0.201396313870917,12.1863661067788,3.67443972582928e-34,3.32751535171527e-32
"snR4",25309.2686310316,1.37387557824452,0.112760957915057,12.1839651209727,3.78426449845505e-34,3.38303542919578e-32
"YOL114C",663.464166466882,1.36055378416644,0.111844277806096,12.164715181274,4.79113531494839e-34,4.2289350064728e-32
"YBR284W",1158.06359898902,1.2040788502441,0.0992956615609583,12.1261979759801,7.67298843075938e-34,6.68796854096065e-32
"snR64",1960.48354456012,2.68968239648851,0.223670998397882,12.0251727571042,2.62039450772386e-33,2.25580381510598e-31
"YEL020C-B",123.13216688875,3.98913929595862,0.337153767951048,11.8318099192586,2.6731484893129e-32,2.27315419707059e-30
"YML054C",169.477552165041,-2.26497071965393,0.191876306963053,-11.8043272538598,3.70744264129311e-32,3.11469849852252e-30
"YOL097W-A",307.543293565352,2.0232098969166,0.171918952536341,11.7683935777175,5.67957237195759e-32,4.71472120829289e-30
"YOR352W",1500.85036383376,-1.18394056263012,0.100786674815293,-11.746994975277,7.31749978169762e-32,6.00293246797382e-30
"YML012C-A",122.38782085141,2.95168258305278,0.251860548748949,11.7195114427983,1.01254237479427e-31,8.20983485981449e-30
"YEL039C",512.201230487504,1.63644318456104,0.140759318281486,11.6258248799454,3.04636478978693e-31,2.44164387117061e-29
"YPL165C",152.244698547558,3.27945446550017,0.282767437501977,11.5977090377574,4.23257386616779e-31,3.353833814635e-29
"snR36",2110.10146514315,2.7760257549704,0.240423509754348,11.5463989266557,7.69787071184468e-31,6.03115196333629e-29
"snR67",7228.47685724064,2.4950431994649,0.217309745460586,11.481506244355,1.63408655297496e-30,1.26605394821049e-28
"snR13",10486.1161408173,2.71321895202964,0.242786613443424,11.1753235219531,5.38537773349737e-29,4.12661966326122e-27
"YGL156W",2407.16763031329,-2.82891182031746,0.253960499886182,-11.1391803905934,8.08600539258316e-29,6.12866473940026e-27
"YPL024W",1245.92331542152,1.10313217399363,0.100017927606014,11.0293444425187,2.75868567046553e-28,2.06842098711356e-26
"YKL183C-A",79.7715926487294,4.23329609225029,0.385386625902233,10.9845433331779,4.5352642192962e-28,3.36429759586727e-26
"YOL151W",2606.28619338491,-1.61955844935003,0.147833771726541,-10.9552670572855,6.26931739953243e-28,4.6016789712568e-26
"YBL005W",3926.32556884468,-1.39477016902912,0.127352647072678,-10.9520312383703,6.49740057580063e-28,4.71941398073518e-26
"YFL062W",102.636584478621,3.6533614147638,0.334162734856528,10.9328809998289,8.02590821155828e-28,5.76955236692742e-26
"snR189",3843.90545792621,1.96417776331078,0.182060770594341,10.7885831576933,3.89751839183666e-27,2.77320364757929e-25
"YDR119W-A",727.177786409218,2.21945532531858,0.205913350598585,10.778588755254,4.34500565235923e-27,3.06037620342434e-25
