"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene","threshold"
"snR87",1713.03231481015,4.45916610281831,0.155347533029496,28.7044539160571,3.35687626565037e-181,3.90124970006334e-178,"snR87","Up"
"snR10",2846.50228896765,5.27309763458856,0.184158991040826,28.6333977221865,2.58055123319465e-180,2.57059767843804e-177,"snR10","Up"
"snR62",972.193415351779,4.23279767753882,0.149515064398305,28.3101752627596,2.59013027836875e-176,2.25762230388317e-173,"snR62","Up"
"snR59",1117.70004199905,4.46652156211184,0.159625500823992,27.9812532399618,2.74771670295373e-172,2.12886984107737e-169,"snR59","Up"
"snR85",1389.9999542646,3.41189291313198,0.138612893123087,24.6145422424901,8.82673373328773e-134,6.15488143222153e-131,"snR85","Up"
"snR48",6532.63401114279,5.84178359234368,0.238383287793734,24.505843704104,1.27977360045237e-132,8.11260119632219e-130,"snR48","Up"
"snR58",792.670873871987,5.66481027535426,0.234026188633192,24.2058818649274,1.92905853055248e-129,1.12094376112853e-126,"snR58","Up"
"snR66",4031.07035076963,5.22827510355009,0.218247393043503,23.9557276292777,8.05368605289097e-127,4.31987329590836e-124,"snR66","Up"
"snR61",3592.89446957669,4.5021210429822,0.188256849088208,23.9147795407578,2.1497521062419e-126,1.07073010263034e-123,"snR61","Up"
"snR56",3090.71356544784,5.47805833017215,0.229176449633527,23.9032341190905,2.83452200133378e-126,1.31767479435337e-123,"snR56","Up"
"snR71",4940.54514602028,5.37276879002828,0.235705273823766,22.7944360466259,5.20648566757246e-115,2.13557791529311e-112,"snR71","Up"
"snR73",1528.99170042317,4.90020050470682,0.222276314690544,22.045536032613,1.05424710782195e-107,4.0840361571347e-105,"snR73","Up"
"snR38",5940.91592742963,4.17350321392718,0.19470072717906,21.4354783076333,6.23894390370875e-102,2.17520779202805e-99,"snR38","Up"
"snR39",3241.33596875314,3.44625514492163,0.165368169756802,20.8398940980592,1.88254763986699e-96,6.25095461561549e-94,"snR39","Up"
"snR51",2508.82740479458,3.74110915790759,0.185800783823499,20.1350558427215,3.63902652412383e-90,1.10325791098763e-87,"snR51","Up"
"snR79",1035.32959139756,3.64410041627555,0.184192619524134,19.7841825893468,4.0745075380364e-87,1.18381421094699e-84,"snR79","Up"
"snR53",522.312986058812,4.37762360196138,0.236369594530404,18.5202483875239,1.41781421589238e-76,3.53086375979199e-74,"snR53","Up"
"snR54",2536.57077251423,3.80002399880602,0.210179913042978,18.079862836507,4.59222847243513e-73,1.10419341856173e-70,"snR54","Up"
"snR18",4344.70454784834,3.33770848317233,0.198286011455784,16.8327985351433,1.40310591135526e-63,3.1560830709291e-61,"snR18","Up"
"snR68",1865.21887108417,3.47369054481146,0.209553166192787,16.576655022314,1.02793445132256e-61,2.1720566451734e-59,"snR68","Up"
"snR50",941.638214156127,2.59608278886993,0.169250546301297,15.3386966577256,4.21574395785976e-53,7.73589016267265e-51,"snR50","Up"
"snR49",11196.1180847078,3.19752197729673,0.209969946911194,15.2284744761549,2.28869661821429e-52,3.8924589070264e-50,"snR49","Up"
"snR65",802.358930931003,4.07227475705518,0.281671962002165,14.4575084012937,2.24788823624245e-47,3.26552597319138e-45,"snR65","Up"
"snR47",6500.5370813427,3.67046351955276,0.254613493685586,14.4158248112541,4.11493724880372e-47,5.85580763998129e-45,"snR47","Up"
"snR76",3237.01435357632,3.2193451197658,0.229698343332419,14.0155347794859,1.25251220903235e-44,1.71250345756521e-42,"snR76","Up"
"snR69",1519.14884307831,3.5718651032527,0.255692660021862,13.9693689406153,2.39741493835088e-44,3.21484122406167e-42,"snR69","Up"
"snR80",9944.03813104476,2.74035548032349,0.206502728894526,13.2703112205513,3.44148481479681e-40,4.21008309010143e-38,"snR80","Up"
"snR11",26690.6923735124,2.09342769505333,0.159978068324259,13.0857167921929,3.97393578475242e-39,4.61837570451311e-37,"snR11","Up"
"snR77",2413.48054433234,3.2765269748919,0.250794222771865,13.0646030784863,5.24575198704207e-39,5.99649649272858e-37,"snR77","Up"
"snR72",435.467400685343,3.19308682123414,0.24982324464254,12.7813839973256,2.08329039395452e-37,2.16817670403655e-35,"snR72","Up"
"snR81",2953.57769562187,3.15083863538916,0.24881681146395,12.6632867644704,9.44601149143059e-37,9.40957687567793e-35,"snR81","Up"
"snR24",808.643737401294,2.45428921338673,0.201396313870917,12.1863661067788,3.67443972582928e-34,3.32751535171527e-32,"snR24","Up"
"snR4",25309.2686310316,1.37387557824452,0.112760957915057,12.1839651209727,3.78426449845505e-34,3.38303542919578e-32,"snR4","Up"
"snR64",1960.48354456012,2.68968239648851,0.223670998397882,12.0251727571042,2.62039450772386e-33,2.25580381510598e-31,"snR64","Up"
"snR36",2110.10146514315,2.7760257549704,0.240423509754348,11.5463989266557,7.69787071184468e-31,6.03115196333629e-29,"snR36","Up"
"snR67",7228.47685724064,2.4950431994649,0.217309745460586,11.481506244355,1.63408655297496e-30,1.26605394821049e-28,"snR67","Up"
"snR13",10486.1161408173,2.71321895202964,0.242786613443424,11.1753235219531,5.38537773349737e-29,4.12661966326122e-27,"snR13","Up"
"snR189",3843.90545792621,1.96417776331078,0.182060770594341,10.7885831576933,3.89751839183666e-27,2.77320364757929e-25,"snR189","Up"
"snR46",14269.9096870844,1.69247238156168,0.161786602494321,10.4611405114406,1.30277966356212e-25,8.03918813629971e-24,"snR46","Up"
"snR33",12691.2358129343,1.52393701002499,0.149140063658481,10.2181598468047,1.64432613314828e-24,9.63519842558232e-23,"snR33","Up"
"snR39B",1069.17572681466,2.67353286401352,0.274292470126061,9.74701515788896,1.89971732505682e-22,9.95994654708362e-21,"snR39B","Up"
"snR57",2719.74383799223,2.14781296580758,0.222699144788964,9.64445987362412,5.18836044414918e-22,2.67988425015202e-20,"snR57","Up"
"snR14",1816.75515581443,1.50507619233021,0.174235065970089,8.63819337370687,5.7108896242848e-18,2.38455289521784e-16,"snR14","Up"
"snR8",19009.7154027992,1.88950084319354,0.228750911832616,8.26008004976235,1.45574806571931e-16,5.34259540118988e-15,"snR8","Up"
"snR44",3792.00985997839,1.09723095439429,0.134938458680452,8.13134346667352,4.24558510377362e-16,1.48766155420168e-14,"snR44","Up"
"snR41",2881.82695423224,1.12909079126872,0.146637051328336,7.69990108939499,1.3617159388042e-14,4.31891346667715e-13,"snR41","Up"
"snR31",12610.9405878574,1.12971778696013,0.162592444549885,6.94815672454894,3.70089739435168e-12,9.21655626100511e-11,"snR31","Up"
"snR74",379.968914439738,1.55665255670347,0.228410146431034,6.81516377895884,9.41564358315227e-12,2.24927004622898e-10,"snR74","Up"
"snR32",9655.51287160957,1.56029911869468,0.239356964101617,6.51871201889184,7.09136504277894e-11,1.57981113237372e-09,"snR32","Up"
"snR45",11566.0880896609,2.99725019232994,0.499525819165157,6.00019073556429,1.97085884194159e-09,3.74463179968902e-08,"snR45","Up"
"snR35",23676.1210566665,1.25838097248297,0.220877963197696,5.6971775466648,1.21807062144236e-08,2.00320906682019e-07,"snR35","Up"
"snR34",19488.7853976923,1.35115408424708,0.239893779007348,5.63230147041745,1.77820489888397e-08,2.88358668835301e-07,"snR34","Up"
"snR161",3086.66169727288,2.51048828750162,0.454791587863549,5.52008514338406,3.38835442891147e-08,5.21567228097123e-07,"snR161","Up"
"snR84",52259.9063803098,-0.808323396950476,0.156285140567367,-5.17210653563091,2.31469541118403e-07,3.04535303814835e-06,"snR84","Not Sig"
"snR43",7581.74041730627,1.06723808887803,0.206596203976661,5.1658165461675,2.39391506198003e-07,3.1318517311795e-06,"snR43","Up"
"snR9",21496.7728189538,1.06910312901255,0.208002413178571,5.13985925776121,2.7494433174781e-07,3.5701803077793e-06,"snR9","Up"
"snR128",19213.8852641186,2.02311195495161,0.409924781814565,4.93532483202442,8.00174696584786e-07,9.57052857510414e-06,"snR128","Up"
"snR63",24690.7013972215,0.874555004385504,0.180414050551448,4.84748832872143,1.25034386000236e-06,1.43163345415377e-05,"snR63","Not Sig"
"snR7-L",25.9483412492634,1.73983312168878,0.440969560860828,3.94547215071356,7.96428886770564e-05,0.000608269291068033,"snR7-L","Up"
"snR42",34154.1006098276,0.615991697675091,0.156144868159853,3.94500123465134,7.97995674452042e-05,0.000608407583331081,"snR42","Not Sig"
"snR17b",79461.4762794847,0.544478613433457,0.144140946559903,3.77740417576057,0.000158471446132906,0.00112413163162234,"snR17b","Not Sig"
"snR55",373.658260886807,0.761892832615081,0.202210308165144,3.76782390338304,0.000164676798520117,0.00116459565525434,"snR55","Not Sig"
"snR5",20555.5500983886,0.828678357797685,0.223011848243945,3.71584902023332,0.000202522493264096,0.00139959300845445,"snR5","Not Sig"
"snR3",9434.17018024448,1.35064529190938,0.384432972118124,3.51334404140125,0.000442504103416841,0.00278482049921086,"snR3","Up"
"snR86",262657.025094362,-0.608263268601324,0.202829018312949,-2.9988966749463,0.00270959180293265,0.0133904005946997,"snR86","Not Sig"
"snR82",32855.3975032276,0.44243415103246,0.148865407830051,2.97204137268449,0.0029582681716984,0.0143749156524411,"snR82","Not Sig"
"snR70",4067.34347745393,0.420692632753855,0.172769218773946,2.4349975981792,0.0148918885490021,0.0558319143774027,"snR70","Not Sig"
"snR52",486.479004428005,1.39613242183954,0.590017381531901,2.3662564282677,0.0179689937215185,0.0643271251404768,"snR52","Not Sig"
"snR60",52.7532828363094,0.806701796021183,0.409719832808885,1.96891078103478,0.0489633373095496,0.138676422038785,"snR60","Not Sig"
"snR40",1567.63953939978,0.767120081300742,0.450739394115522,1.70191487878722,0.0887713261888838,0.216721378445887,"snR40","Not Sig"
"snR78",241.414166242036,0.439620438769481,0.269681036015072,1.63014962143987,0.103069878395371,0.240853304976851,"snR78","Not Sig"
"snR191",13182.9206054764,0.232721716241885,0.153377962852122,1.51730869229408,0.129188764631428,0.284174528635631,"snR191","Not Sig"
