# Program:featureCounts v2.1.1; Command:"featureCounts" "-a" "reference/annot.gtf" "-o" "counts/counts.txt" "-p" "-B" "-C" "-s" "2" "-T" "4" "alignment/WT_1A.sorted.bam" "alignment/WT_1B.sorted.bam" "alignment/WT_1C.sorted.bam" "alignment/WT_2A.sorted.bam" "alignment/WT_2B.sorted.bam" "alignment/WT_2C.sorted.bam" "alignment/WT_3A.sorted.bam" "alignment/WT_3B.sorted.bam" "alignment/WT_3C.sorted.bam" "alignment/WT_4A.sorted.bam" "alignment/WT_4B.sorted.bam" "alignment/WT_4C.sorted.bam" "alignment/rrp6_1A.sorted.bam" "alignment/rrp6_1B.sorted.bam" "alignment/rrp6_1C.sorted.bam" "alignment/rrp6_2A.sorted.bam" "alignment/rrp6_2B.sorted.bam" "alignment/rrp6_2C.sorted.bam" "alignment/rrp6_3A.sorted.bam" "alignment/rrp6_3B.sorted.bam" "alignment/rrp6_3C.sorted.bam" "alignment/rrp6_4A.sorted.bam" "alignment/rrp6_4B.sorted.bam" "alignment/rrp6_4C.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	alignment/WT_1A.sorted.bam	alignment/WT_1B.sorted.bam	alignment/WT_1C.sorted.bam	alignment/WT_2A.sorted.bam	alignment/WT_2B.sorted.bam	alignment/WT_2C.sorted.bam	alignment/WT_3A.sorted.bam	alignment/WT_3B.sorted.bam	alignment/WT_3C.sorted.bam	alignment/WT_4A.sorted.bam	alignment/WT_4B.sorted.bam	alignment/WT_4C.sorted.bam	alignment/rrp6_1A.sorted.bam	alignment/rrp6_1B.sorted.bam	alignment/rrp6_1C.sorted.bam	alignment/rrp6_2A.sorted.bam	alignment/rrp6_2B.sorted.bam	alignment/rrp6_2C.sorted.bam	alignment/rrp6_3A.sorted.bam	alignment/rrp6_3B.sorted.bam	alignment/rrp6_3C.sorted.bam	alignment/rrp6_4A.sorted.bam	alignment/rrp6_4B.sorted.bam	alignment/rrp6_4C.sorted.bam
YDL246C	IV	8683	9756	-	1074	10	5	6	2	13	15	5	9	7	13	13	10	4	5	1	29	11	8	10	18	19	9	16	5
YDL243C	IV	17577	18566	-	990	156	196	204	184	253	217	278	266	256	368	420	392	167	158	224	198	205	220	204	177	183	197	217	213
YDR387C	IV	1248154	1249821	-	1668	467	547	559	642	714	717	655	726	721	672	683	712	475	514	497	736	879	822	808	774	838	869	844	800
YDL094C	IV	289572	290081	-	510	16	5	6	5	10	8	9	8	8	15	10	8	10	20	15	14	17	17	18	17	16	8	15	6
YDR438W	IV	1338274	1339386	+	1113	259	290	246	259	214	216	252	240	259	350	303	312	270	255	245	224	239	255	263	251	286	242	288	298
YDR523C	IV	1485566	1487038	-	1473	171	203	191	73	72	68	88	91	83	74	90	86	245	259	350	177	139	163	170	162	203	195	190	172
YDR542W	IV	1523249	1523611	+	363	6	6	5	0	3	4	4	8	6	17	33	32	4	7	1	2	4	4	3	4	0	6	9	2
YDR492W	IV	1434924	1435874	+	951	2635	2963	3278	1781	1925	1934	2091	2276	2345	1836	2066	2076	3118	3467	3377	1633	1836	1799	2334	2657	2501	1978	2087	2268
YDR018C	IV	482670	483860	-	1191	34	29	36	78	53	68	57	64	78	49	75	74	9	10	9	40	46	46	56	43	56	51	66	60
YDL189W	IV	122216	123589	+	1374	993	1137	1143	1065	1049	1036	931	1096	956	1150	1345	1392	943	1050	1024	997	1005	975	876	854	875	1110	1109	1149
YDR508C	IV	1466453	1468444	-	1992	1971	2068	2086	1984	2169	2202	1854	1802	1877	1784	1821	1948	2636	2896	2991	2541	2928	2873	2123	2212	2377	2574	2787	2817
YDR462W	IV	1386073	1386516	+	444	437	487	438	434	468	548	516	551	540	667	668	676	295	298	322	368	392	388	363	392	387	407	433	516
YDR175C	IV	813193	814152	-	960	812	895	1001	867	890	900	989	1086	1094	1236	1277	1404	541	554	635	779	716	712	752	791	814	828	956	883
YDR186C	IV	832859	835492	-	2634	3630	4014	3969	3092	3333	3260	3011	3291	3359	4450	4511	4700	3211	3404	3594	2606	2714	2723	2578	2807	2848	2849	3083	3025
